hsa:7040	hsa:7048	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:7042	hsa:7048	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:7043	hsa:7048	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:151449	hsa:269	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:151449	hsa:659	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:268	hsa:269	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:268	hsa:659	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:353500	hsa:269	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:353500	hsa:659	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:392255	hsa:269	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:392255	hsa:659	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:650	hsa:269	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:650	hsa:659	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:652	hsa:269	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:652	hsa:659	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:653	hsa:269	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:653	hsa:659	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:654	hsa:269	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:654	hsa:659	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:655	hsa:269	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:655	hsa:659	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:656	hsa:269	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:656	hsa:659	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:8200	hsa:269	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:8200	hsa:659	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:3624	hsa:92	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:3624	hsa:93	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:3625	hsa:92	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:3625	hsa:93	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:3626	hsa:92	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:3626	hsa:93	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:83729	hsa:92	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:83729	hsa:93	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:4838	hsa:92	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:4838	hsa:93	PPrel	activation	-->	path:hsa04350	TGF-beta signaling pathway
hsa:657	hsa:4086	PPrel	phosphorylation	+p	path:hsa04350	TGF-beta signaling pathway
hsa:657	hsa:4090	PPrel	phosphorylation	+p	path:hsa04350	TGF-beta signaling pathway
hsa:657	hsa:4093	PPrel	phosphorylation	+p	path:hsa04350	TGF-beta signaling pathway
hsa:658	hsa:4086	PPrel	phosphorylation	+p	path:hsa04350	TGF-beta signaling pathway
hsa:658	hsa:4090	PPrel	phosphorylation	+p	path:hsa04350	TGF-beta signaling pathway
